Systematic Experiment Results - 2026-05-13 21:42:55.333394
================================================================================
[2026-05-13 21:44:12] RunID: 1, Mode: ST(all-MiniLM-L6-v2), ST-Dim: 128, KG-Dim: N/A, LR-Scheduler: Enabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_LRT_1000.csv, Epochs(Actual/Max): 35/2000, Time: 70.07s, Patience: 20, LR: 4e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.6628, Precision: 0.5556, Recall: 0.3509, F1-Score: 0.4301, AUC-ROC: 0.7018
[2026-05-13 21:47:20] RunID: 2, Mode: ST(all-MiniLM-L6-v2), ST-Dim: 128, KG-Dim: N/A, LR-Scheduler: Enabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_LRT_1000.csv, Epochs(Actual/Max): 105/2000, Time: 178.70s, Patience: 20, LR: 4e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.7232, Precision: 0.6209, Recall: 0.6082, F1-Score: 0.6145, AUC-ROC: 0.7305
[2026-05-13 21:49:52] RunID: 2, Mode: ST(all-MiniLM-L6-v2), ST-Dim: 128, KG-Dim: N/A, LR-Scheduler: Enabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_1000.csv, Epochs(Actual/Max): 72/2000, Time: 1602.41s, Patience: 20, LR: 4e-05, Batch Size: 16, Test Size: 0.8 Accuracy: 0.7700, Precision: 0.7489, Recall: 0.8260, F1-Score: 0.7855, AUC-ROC: 0.8559
[2026-05-13 21:51:50] RunID: 3, Mode: ST(all-MiniLM-L6-v2), ST-Dim: 128, KG-Dim: N/A, LR-Scheduler: Enabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_LRT_1000.csv, Epochs(Actual/Max): 136/2000, Time: 261.25s, Patience: 20, LR: 4e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.7169, Precision: 0.6325, Recall: 0.5234, F1-Score: 0.5728, AUC-ROC: 0.7223
[2026-05-13 21:58:24] RunID: 4, Mode: ST(all-MiniLM-L6-v2), ST-Dim: 128, KG-Dim: N/A, LR-Scheduler: Enabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_LRT_1000.csv, Epochs(Actual/Max): 241/2000, Time: 384.90s, Patience: 20, LR: 4e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.7338, Precision: 0.7333, Recall: 0.4181, F1-Score: 0.5326, AUC-ROC: 0.7420
[2026-05-13 22:00:29] RunID: 5, Mode: ST(all-MiniLM-L6-v2), ST-Dim: 128, KG-Dim: N/A, LR-Scheduler: Enabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_LRT_1000.csv, Epochs(Actual/Max): 62/2000, Time: 116.49s, Patience: 20, LR: 4e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.6691, Precision: 0.5573, Recall: 0.4269, F1-Score: 0.4834, AUC-ROC: 0.6349
[2026-05-13 22:04:08] RunID: 1, Mode: ST(all-MiniLM-L6-v2), ST-Dim: 128, KG-Dim: N/A, LR-Scheduler: Enabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_LRT_1000.csv, Epochs(Actual/Max): 33/2000, Time: 210.36s, Patience: 20, LR: 4e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.6151, Precision: 0.3735, Recall: 0.0906, F1-Score: 0.1459, AUC-ROC: 0.5755
[2026-05-13 22:07:13] RunID: 2, Mode: ST(all-MiniLM-L6-v2), ST-Dim: 128, KG-Dim: N/A, LR-Scheduler: Enabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_LRT_1000.csv, Epochs(Actual/Max): 28/2000, Time: 176.58s, Patience: 20, LR: 4e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.6373, Precision: 0.0000, Recall: 0.0000, F1-Score: 0.0000, AUC-ROC: 0.7150
[2026-05-13 22:14:00] RunID: 3, Mode: ST(all-MiniLM-L6-v2), ST-Dim: 128, KG-Dim: N/A, LR-Scheduler: Enabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_1000.csv, Epochs(Actual/Max): 65/2000, Time: 1440.41s, Patience: 20, LR: 4e-05, Batch Size: 16, Test Size: 0.8 Accuracy: 0.8237, Precision: 0.8889, Recall: 0.7469, F1-Score: 0.8117, AUC-ROC: 0.8798
[2026-05-13 22:15:06] RunID: 3, Mode: ST(all-MiniLM-L6-v2), ST-Dim: 128, KG-Dim: N/A, LR-Scheduler: Enabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_LRT_1000.csv, Epochs(Actual/Max): 81/2000, Time: 464.41s, Patience: 20, LR: 4e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.5429, Precision: 0.3807, Recall: 0.4152, F1-Score: 0.3972, AUC-ROC: 0.5283
[2026-05-13 22:21:54] RunID: 4, Mode: ST(all-MiniLM-L6-v2), ST-Dim: 128, KG-Dim: N/A, LR-Scheduler: Enabled, File: RulesSpotify/LLMLogic/RulesSpotify_LLMTagged_LRT_1000.csv, Epochs(Actual/Max): 74/2000, Time: 399.75s, Patience: 20, LR: 4e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.6437, Precision: 0.5130, Recall: 0.3450, F1-Score: 0.4126, AUC-ROC: 0.6632
