Systematic Experiment Results - 2026-06-08 22:46:12.013793
================================================================================
[2026-06-08 22:46:25] RunID: 1, Mode: MetricsOnly, ST-Dim: 256, KG-Dim: N/A, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_Basic4_1000.csv, Epochs(Actual/Max): 604/2000, Time: 7.19s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.6863, Precision: 0.7425, Recall: 0.5705, F1-Score: 0.6452, AUC-ROC: 0.7161
[2026-06-08 22:46:43] RunID: 2, Mode: MetricsOnly, ST-Dim: 256, KG-Dim: N/A, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_Basic4_1000.csv, Epochs(Actual/Max): 719/2000, Time: 9.83s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.6884, Precision: 0.7466, Recall: 0.5705, F1-Score: 0.6468, AUC-ROC: 0.7213
[2026-06-08 22:46:51] RunID: 3, Mode: MetricsOnly, ST-Dim: 256, KG-Dim: N/A, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_Basic4_1000.csv, Epochs(Actual/Max): 21/2000, Time: 0.69s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.5000, Precision: 0.0000, Recall: 0.0000, F1-Score: 0.0000, AUC-ROC: 0.3789
[2026-06-08 22:47:11] RunID: 4, Mode: MetricsOnly, ST-Dim: 256, KG-Dim: N/A, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_Basic4_1000.csv, Epochs(Actual/Max): 1194/2000, Time: 13.38s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.7137, Precision: 0.8085, Recall: 0.5600, F1-Score: 0.6617, AUC-ROC: 0.7041
[2026-06-08 22:47:28] RunID: 5, Mode: MetricsOnly, ST-Dim: 256, KG-Dim: N/A, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_Basic4_1000.csv, Epochs(Actual/Max): 656/2000, Time: 9.32s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.7168, Precision: 0.8140, Recall: 0.5621, F1-Score: 0.6650, AUC-ROC: 0.7157
[2026-06-08 22:47:57] RunID: 1, Mode: RotatE(no_inst), ST-Dim: 256, KG-Dim: 128, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_Basic4_1000.csv, Epochs(Actual/Max): 247/2000, Time: 21.80s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.7326, Precision: 0.8721, Recall: 0.5453, F1-Score: 0.6710, AUC-ROC: 0.7578
[2026-06-08 22:48:30] RunID: 2, Mode: RotatE(no_inst), ST-Dim: 256, KG-Dim: 128, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_Basic4_1000.csv, Epochs(Actual/Max): 285/2000, Time: 25.19s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.7337, Precision: 0.8750, Recall: 0.5453, F1-Score: 0.6719, AUC-ROC: 0.7593
[2026-06-08 22:50:09] RunID: 3, Mode: RotatE(no_inst), ST-Dim: 256, KG-Dim: 128, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_Basic4_1000.csv, Epochs(Actual/Max): 1067/2000, Time: 91.50s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.7274, Precision: 0.8649, Recall: 0.5389, F1-Score: 0.6641, AUC-ROC: 0.7363
[2026-06-08 22:51:01] RunID: 4, Mode: RotatE(no_inst), ST-Dim: 256, KG-Dim: 128, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_Basic4_1000.csv, Epochs(Actual/Max): 502/2000, Time: 43.95s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.7305, Precision: 0.8712, Recall: 0.5411, F1-Score: 0.6675, AUC-ROC: 0.7513
[2026-06-08 22:51:33] RunID: 5, Mode: RotatE(no_inst), ST-Dim: 256, KG-Dim: 128, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_Basic4_1000.csv, Epochs(Actual/Max): 295/2000, Time: 25.15s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.7326, Precision: 0.8746, Recall: 0.5432, F1-Score: 0.6701, AUC-ROC: 0.7610
[2026-06-08 22:52:01] RunID: 1, Mode: RotatE(no_inst), ST-Dim: 256, KG-Dim: 128, LR-Scheduler: Disabled, File: RulesSpotify/LLMLogic/RulesSpotify_Basic4_1000.csv, Epochs(Actual/Max): 253/2000, Time: 20.44s, Patience: 20, LR: 2e-05, Batch Size: 16, Test Size: 0.95 Accuracy: 0.7168, Precision: 0.8121, Recall: 0.5642, F1-Score: 0.6658, AUC-ROC: 0.7436
